Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0169300034121000014;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300034121000014;Подача заявок;"Выполнение работ по ремонту пешеходного перехода возле МКОУ ""Княженская СОШ"" по ул. Генерала Григорьева, п.Княженский Брединского районаЧелябинскойобласти";АДМИНИСТРАЦИЯ БРЕДИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЧЕЛЯБИНСКОЙОБЛАСТИ;10.02.2021;646 963,00 ₽;;;;;;;;;;;;;;
№ 0169300034121000013;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300034121000013;Подача заявок;"Выполнение работ по ремонту пешеходного перехода возле МКОУ ""Калининская СОШ""- ""Амурская ООШ"" по ул. Центральная, п. Амурский  Брединского районаЧелябинскойобласти";АДМИНИСТРАЦИЯ БРЕДИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЧЕЛЯБИНСКОЙОБЛАСТИ;10.02.2021;417 992,00 ₽;;;;;;;;;;;;;;
№ 0169300034121000012;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300034121000012;Подача заявок;"Выполнение работ по ремонту пешеходного перехода возле МКОУ ""Атамановская СОШ"" по ул. Школьная, п. Атамановский Брединского районаЧелябинскойобласти";АДМИНИСТРАЦИЯ БРЕДИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЧЕЛЯБИНСКОЙОБЛАСТИ;10.02.2021;748 422,00 ₽;;;;;;;;;;;;;;
№ 32109975282;https://zakupki.gov.ru/https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32109975282;Подача заявок;Выполнение работ по установке надземных пешеходных переходов из модульных конструкций на объекте «Оказание услуг по содержанию участка автомобильнойдорогиобщего пользования федерального значения и искусственных дорожных сооружений на ней М-5 «Урал» Москва – Рязань – Пенза – Самара – Уфа –Челябинск(подъезд к пункту пропуска «Орск») км 10+600 – км 293+410, Оренбургская область».;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ОРЕНБУРГСКОЙ ОБЛАСТИ ""ОРЕНБУРГРЕМДОРСТРОЙ""";09.02.2021;83 526 971,00 ₽;;;;;;;;;;;;;;
№ 0169300034121000011;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300034121000011;Подача заявок;Выполнение работ по ремонту автомобильнойдорогипо ул. Хромитовская (от ул. Маяковского до ул. Тургенева), п.БредыЧелябинскойобласти;АДМИНИСТРАЦИЯ БРЕДИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНАЧЕЛЯБИНСКОЙОБЛАСТИ;09.02.2021;2 318 270,00 ₽;;;;;;;;;;;;;;
№ 0169300000121000033;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300000121000033;Подача заявок;"21-81001Э Выполнение работ по ремонту объектов улично-дорожной сети городаЧелябинскав рамках реализации национального проекта ""Безопасные и качественные автомобильныедороги""";УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫХ ЗАКУПОК АДМИНИСТРАЦИИ ГОРОДАЧЕЛЯБИНСКА;09.02.2021;48 557 038,75 ₽;;;;;;;;;;;;;;
№ 0869200000221000211;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0869200000221000211;Подача заявок;Выполнение работ по устройству модульного надземногопешеходного перехода и остановочных комплексов на автомобильнойдорогеЧелябинск-Харлуши-граница Аргаяшского муниципального района, в том числетранспортная развязка 4,23 километра на пересечении савтодорогойОбход городаЧелябинска, участок км 4 + 000 - км 5 + 000;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОКЧЕЛЯБИНСКОЙОБЛАСТИ""";09.02.2021;58 956 200,11 ₽;;;;;;;;;;;;;;
№ 0369300188621000011;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0369300188621000011;Подача заявок;Ремонт автомобильнойдорогипо улице Мельничная в поселке Увельский Увельского муниципального районаЧелябинскойобласти;КОМИТЕТ СТРОИТЕЛЬСТВА И ИНФРАСТРУКТУРЫ АДМИНИСТРАЦИИ УВЕЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;09.02.2021;5 102 386,20 ₽;;;;;;;;;;;;;;
№ 0169300035921000009;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300035921000009;Подача заявок;Ремонт проезжей части ул. 40 лет Октября в г. СимЧелябинскойобласти.;АДМИНИСТРАЦИЯ СИМСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;09.02.2021;4 226 958,00 ₽;;;;;;;;;;;;;;
№ 0369300188621000009;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0369300188621000009;Подача заявок;Ремонт автомобильнойдорогипо улице Энергетиков в поселке Увельский Увельского муниципального районаЧелябинскойобласти;КОМИТЕТ СТРОИТЕЛЬСТВА И ИНФРАСТРУКТУРЫ АДМИНИСТРАЦИИ УВЕЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;09.02.2021;6 316 411,44 ₽;;;;;;;;;;;;;;
№ 0169300025021000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300025021000005;Подача заявок;"""Капитальный ремонт улично-дорожной сети п.Кассельский Нагайбакского муниципального районаЧелябинскойобласти. Улица Красноармейская.""";АДМИНИСТРАЦИЯ КАССЕЛЬСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ НАГАЙБАКСКОГО РАЙОНА;09.02.2021;12 943 337,40 ₽;;;;;;;;;;;;;;
№ 0369300188621000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0369300188621000007;Подача заявок;Ремонт автомобильнойдорогипо улице Дорожная в квартале Сосняки поселка Увельский Увельского муниципального районаЧелябинскойобласти;КОМИТЕТ СТРОИТЕЛЬСТВА И ИНФРАСТРУКТУРЫ АДМИНИСТРАЦИИ УВЕЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;09.02.2021;13 737 589,50 ₽;;;;;;;;;;;;;;
№ 0369300188621000006;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0369300188621000006;Подача заявок;Ремонт автомобильнойдорогипо улице Ломоносова в поселке Увельский Увельского муниципального районаЧелябинскойобласти;КОМИТЕТ СТРОИТЕЛЬСТВА И ИНФРАСТРУКТУРЫ АДМИНИСТРАЦИИ УВЕЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;09.02.2021;4 187 893,12 ₽;;;;;;;;;;;;;;
№ 0369300188621000005;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0369300188621000005;Подача заявок;Ремонт автомобильнойдорогипо улице Советская до пересечения с улицей Школьная в селе Мордвиновка Увельского муниципального районаЧелябинскойобласти;КОМИТЕТ СТРОИТЕЛЬСТВА И ИНФРАСТРУКТУРЫ АДМИНИСТРАЦИИ УВЕЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;09.02.2021;3 091 772,36 ₽;;;;;;;;;;;;;;
№ 0369300188621000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0369300188621000004;Подача заявок;Ремонт автомобильнойдорогипо улице Степная в поселке Подгорный Увельского муниципального районаЧелябинскойобласти;КОМИТЕТ СТРОИТЕЛЬСТВА И ИНФРАСТРУКТУРЫ АДМИНИСТРАЦИИ УВЕЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;09.02.2021;3 995 855,60 ₽;;;;;;;;;;;;;;
№ 0169300035921000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300035921000008;Подача заявок;Ремонт проезжей части ул. Октября в г. СимЧелябинскойобласти.;АДМИНИСТРАЦИЯ СИМСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;09.02.2021;3 995 430,00 ₽;;;;;;;;;;;;;;
№ 0169300035921000007;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300035921000007;Подача заявок;Ремонт проезжей части ул. Курчатова в г. СимЧелябинскойобласти.;АДМИНИСТРАЦИЯ СИМСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ;09.02.2021;4 322 530,00 ₽;;;;;;;;;;;;;;
№ 0169300000121000032;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300000121000032;Подача заявок;"21-80945Э Выполнение работ по строительному контролю объекта: ""Капитальный ремонтдорогик поселку Новосинеглазово от Троицкого тракта до ул.Челябинская.Устройство недостающего наружного освещения. Благоустройство.""";УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫХ ЗАКУПОК АДМИНИСТРАЦИИ ГОРОДАЧЕЛЯБИНСКА;09.02.2021;281 730,27 ₽;;;;;;;;;;;;;;
№ 0169300024821000049;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300024821000049;Подача заявок;Устройство тротуара по ул. Вострецова в с. Миасское Красноармейского районаЧелябинскойобласти;АДМИНИСТРАЦИЯ КРАСНОАРМЕЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;09.02.2021;2 957 147,83 ₽;;;;;;;;;;;;;;
№ 0169300024821000048;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300024821000048;Определение поставщика отменено;Работы по устройству тротуара по ул. Вострецова в с. Миасское Красноармейского районаЧелябинскойобласти;АДМИНИСТРАЦИЯ КРАСНОАРМЕЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;09.02.2021;2 957 147,83 ₽;;;;;;;;;;;;;;
№ 0169300000121000030;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300000121000030;Подача заявок;"21-80946Э Выполнение работ по строительному контролю объекта: ""Капитальный ремонт ул. Мраморной от ул. Морская до кольцаавтодорогив аэропорт. Устройство недостающего наружного освещения. Благоустройство.""";УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫХ ЗАКУПОК АДМИНИСТРАЦИИ ГОРОДАЧЕЛЯБИНСКА;09.02.2021;610 353,69 ₽;;;;;;;;;;;;;;
№ 0169300044221000024;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300044221000024;Подача заявок;Выполнение работ по содержанию объектов улично-дорожной сети г. Озерска (светофорные объекты);АДМИНИСТРАЦИЯ ОЗЕРСКОГО ГОРОДСКОГО ОКРУГАЧЕЛЯБИНСКОЙОБЛАСТИ;09.02.2021;4 155 704,77 ₽;;;;;;;;;;;;;;
№ 0169300024821000045;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300024821000045;Определение поставщика отменено;Работу по устройству тротуара по ул. Вострецова в с. Миасское Красноармейского районаЧелябинскойобласти;АДМИНИСТРАЦИЯ КРАСНОАРМЕЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;09.02.2021;2 957 147,83 ₽;;;;;;;;;;;;;;
№ 0169300024821000044;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0169300024821000044;Подача заявок;Ремонт участкадорогипо ул. Школьная в с. Миасское Красноармейского районаЧелябинскойобласти;АДМИНИСТРАЦИЯ КРАСНОАРМЕЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;09.02.2021;5 646 519,74 ₽;;;;;;;;;;;;;;
