Номер закупки;Ссылка на продукт;Статус;Описание объекта;Организация;Дата размещения;Цена;Ссылка на поставщика;Заказчик;Победитель;Статус победителя;Цена победителя;Второй номер;Статус второго номера;Цена второго номера;Дата начала контракта;Дата окончания контракта;ФИО Руководителя;ИНН;Контакты
№ 0115300027321000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0115300027321000004;Подача заявок;Разработка проектной документации на капитальный ремонт автомобильнойдороги«Цивидьск-Ульяновск»-Починок-Инели»-Старый Сундырь в Комсомольском районеЧувашскойРеспублики;АДМИНИСТРАЦИЯ КОМСОМОЛЬСКОГО РАЙОНАЧУВАШСКОЙРЕСПУБЛИКИ;10.02.2021;655 500,00 ₽;;;;;;;;;;;;;;
№ 0815600000121000011;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0815600000121000011;Подача заявок;Капитальный ремонт моста с устройством берегозащитных сооружений через реку Бездна на автомобильнойдороге«подъезд к п. Анютино» Алатырского районаЧувашскойРеспублики;"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ФИНАНСОВОГО И ХОЗЯЙСТВЕННОГО ОБЕСПЕЧЕНИЯ"" АЛАТЫРСКОГО РАЙОНАЧУВАШСКОЙРЕСПУБЛИКИ";09.02.2021;13 056 990,00 ₽;;;;;;;;;;;;;;
№ 0315300111321000008;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0315300111321000008;Подача заявок;Ремонт автомобильнойдороги«Аниш»-Айбечи с км 0+800 по км 1+180 и с км 2+900 по км 2+975 общей   протяженностью 0,455 км в Ибресинском районеЧувашскойРеспублики;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ФИНАНСОВОГО И ХОЗЯЙСТВЕННОГО ОБЕСПЕЧЕНИЯ"" ИБРЕСИНСКОГО РАЙОНАЧУВАШСКОЙРЕСПУБЛИКИ";09.02.2021;2 445 744,62 ₽;;;;;;;;;;;;;;
№ 0115300022221000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0115300022221000001;Подача заявок;Ремонтдорогипо ул. Дружбы в д. Нижние Бюртли-Шигали с км 0+000 по км 0+395 Комсомольского районаЧувашскойРеспублики;АДМИНИСТРАЦИЯ ШЕРАУТСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ КОМСОМОЛЬСКОГО РАЙОНАЧУВАШСКОЙРЕСПУБЛИКИ;08.02.2021;539 902,00 ₽;;;;;;;;;;;;;;
№ 0115300021721000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0115300021721000001;Подача заявок;Ремонтдорогипо ул. Ленина в с. Урмаево с км 0+000 по км 0+800 Комсомольского районаЧувашскойРеспублики;АДМИНИСТРАЦИЯ УРМАЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ КОМСОМОЛЬСКОГО РАЙОНАЧУВАШСКОЙРЕСПУБЛИКИ;08.02.2021;693 202,00 ₽;;;;;;;;;;;;;;
№ 0115300021121000001;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0115300021121000001;Подача заявок;Ремонтдорогиул.Советская в д.Асаново с КМ 0+000 по КМ 0+320 Комсомольского районаЧувашскойРеспублики;АДМИНИСТРАЦИЯ АСАНОВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ КОМСОМОЛЬСКОГО РАЙОНАЧУВАШСКОЙРЕСПУБЛИКИ;08.02.2021;325 267,00 ₽;;;;;;;;;;;;;;
№ 0115200001121000109;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0115200001121000109;Подача заявок;Строительство остановочных пунктов и пешеходных переходов на участке км 15+222 – км 17+920 автомобильнойдорогиАвданкасы – Моргауши – Козьмодемьянск в Моргаушском районеЧувашскойРеспублики;ГОСУДАРСТВЕННАЯ СЛУЖБАЧУВАШСКОЙРЕСПУБЛИКИ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ И ТАРИФАМ;05.02.2021;6 127 040,00 ₽;;;;;;;;;;;;;;
№ 0315300091121000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0315300091121000004;Подача заявок;Укрепление обочины на автомобильнойдорогеот ул. Шоссейная д. 4А в д. Караклы до дома № 26 по ул. Центральная в д. Аксарино Канашского района;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛИЗОВАННАЯ БУХГАЛТЕРИЯ АДМИНИСТРАЦИИ КАНАШСКОГО РАЙОНАЧУВАШСКОЙРЕСПУБЛИКИ""";05.02.2021;277 987,00 ₽;;;;;;;;;;;;;;
№ 0315300091121000003;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0315300091121000003;Подача заявок;Ремонт грунтовойдорогипо ул. Западная от дома № 15 до дома № 45 в д. Юманзары Канашского района;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛИЗОВАННАЯ БУХГАЛТЕРИЯ АДМИНИСТРАЦИИ КАНАШСКОГО РАЙОНАЧУВАШСКОЙРЕСПУБЛИКИ""";05.02.2021;1 068 903,60 ₽;;;;;;;;;;;;;;
№ 0115300044221000004;https://zakupki.gov.ru//epz/order/notice/ea44/view/common-info.html?regNumber=0115300044221000004;Подача заявок;Содержание улично-дорожной сети города Алатыря на 2021 год;ОТДЕЛ АРХИТЕКТУРЫ, ГРАДОСТРОИТЕЛЬСТВА, ТРАНСПОРТА, ПРИРОДОПОЛЬЗОВАНИЯ И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ГОРОДА АЛАТЫРЯЧУВАШСКОЙРЕСПУБЛИКИ;05.02.2021;10 800 000,00 ₽;;;;;;;;;;;;;;
№ 0311100007221000009;https://zakupki.gov.ru//epz/order/notice/ok504/view/common-info.html?regNumber=0311100007221000009;Подача заявок;"Выполнение проектно-изыскательских работ по объекту: Ремонт моста через реку Кукшум на км 13+093 автомобильнойдороги""Вятка"" Чебоксары - Йошкар-Ола - Киров - Сыктывкар, обход города Чебоксары,ЧувашскаяРеспублика";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХДОРОГВОЛГО-ВЯТСКОГО РЕГИОНА ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""";05.02.2021;1 249 735,00 ₽;;;;;;;;;;;;;;
